Symbol,Price,PE,PBV,ROE,EPS,BVPS,DCF Price,Graham Price,Undervalue DCF %,Undervalue Graham %
AOT.BK,42.0,31.1111,4.8735,0.1624,1.35,8.618,27.21,16.18,-35.2143,-61.4762
PTT.BK,32.25,10.9322,0.7877,0.0619,2.95,40.943,64.36,52.13,99.5659,61.6434
CPALL.BK,46.5,15.9794,3.3509,0.0969,2.91,13.877,57.43,30.14,23.5054,-35.1828
ADVANC.BK,293.0,23.4213,9.6072,0.4224,12.51,30.498,238.99,92.65,-18.4334,-68.3788
KBANK.BK,159.0,7.8441,0.6754,0.0814,20.27,235.418,415.67,327.67,161.4277,106.0818
BDMS.BK,21.0,20.5882,3.191,0.1587,1.02,6.581,20.39,12.29,-2.9048,-41.4762
BBL.BK,147.5,5.95,0.4913,0.085,24.79,300.202,479.99,409.2,225.4169,177.4237
GULF.BK,46.5,27.193,4.7117,0.1772,1.71,9.869,24.65,19.49,-46.9892,-58.086
PTTEP.BK,116.0,6.9503,28.6632,0.1244,16.69,4.047,402.37,38.98,246.8707,-66.3966
GPSC.BK,32.25,21.0784,0.8392,0.0418,1.53,38.431,29.2,36.37,-9.4574,12.7752
